Date,Description,Amount,Category
2019-05-01,"'WORLD VISION DONOR",-22.8,Charity
2019-04-29,"'SOUTH LANARKSHIRE , INITIAL PAYMENT",-163.24,Home
2019-04-23,"'MR TOM JONES , FP 23/04/19 30 ,",-500.0,Miscellaneous
2019-04-18,"'NOTEMACHINE 18APR",-200.0,Miscellaneous
2019-04-18,"'TESCO CURRENT , NATWEST , VIA ONLINE - PYMT , FP 18/04/19 10 ,",-2000.0,Miscellaneous
2019-04-18,"'MR TOM JONES , NATWEST , FP 18/04/19 1447 ,",2000.0,Miscellaneous
2019-04-16,"'4627 15APR19 C , SCOTMID CO-OP     ,",-4.2,Food and Drink
2019-04-16,"'SWTCHER OFFER",150.0,Miscellaneous
2019-04-15,"'BANK OF SCOT 14APR",-50.0,Miscellaneous
2019-04-15,"'4627 12APR19 C , OGALAS LIMITED ,",-4.18,Miscellaneous
2019-04-15,"'4627 12APR19 , B AND Q 1215 ,",-26.0,Home
2019-04-11,"'MR TOM JONES , TESCO SAVER , VIA ONLINE - PYMT , FP 11/04/19 10 ,",-600.0,Savings and Investments
2019-04-11,"'MR TOM JONES , NATWEST , FP 11/04/19 1716 ,",21.89,Miscellaneous
2019-04-11,"'MR TOM JONES , NATWEST , FP 11/04/19 1716 ,",21.89,Miscellaneous
2019-04-09,"'BMACH 09APR",-100.0,Miscellaneous
2019-04-08,"'4627 06APR19 C , MCDONALDS ,",-6.04,Food and Drink
2019-04-08,"'4627 07APR19 C , LIDL",-20.26,Food and Drink